 ( 0.773496 + ( -20.9325 * ( ( ( -427.427 * x1 ) - ( 83.8432 * x4 ) ) / ( ( 108.338 * x1 ) )^2 ) ) )  :  0.0331741 at 4
 ( 0.772998 + ( 34.3031 * ( ( ( 51.0393 * x4 ) - ( ( ( 44.8566 * x4 ) + ( 52.3613 * x8 ) ) - ( 32.6339 * x1 ) ) ) / ( ( 37.8143 * x1 ) )^2 ) ) )  :  0.0331634 at 5
 ( 15.544 + ( -0.316843 * ( ( ( ( 46.6132 * x1 ) - ( 0.086135 * x4 ) ) - ( 80.1368 * ( ( ( ( 8.23771e-06 * ( ( ( 85.9634 * x5 ) )^2 * x4 ) ) - ( 72.4423 * x8 ) ) + ( ( ( 0.245621 * x2 ) )^2 )^2 ) * ( ( x0 / x5 ) / ( ( 38.9278 * x0 ) )^2 ) ) ) ) / x1 ) ) )  :  0.0291598 at 5
 ( 0.773496 + ( 76.9266 * ( ( ( 67.6624 * x1 ) - ( -13.2725 * x4 ) ) / ( ( 82.633 * x1 ) )^2 ) ) )  :  0.0331741 at 5
 ( 88.7584 + ( -2.24752 * ( ( ( ( 39.1469 * x1 ) - ( 0.0121428 * x4 ) ) - ( 29.6753 * ( ( ( ( 37.3032 * ( ( ( 0.0409759 * x5 ) )^2 * x4 ) ) - ( 74.5355 * x8 ) ) + ( ( ( 0.247376 * x2 ) )^2 )^2 ) * ( ( x0 / x5 ) / ( ( 63.9965 * x0 ) )^2 ) ) ) ) / x1 ) ) )  :  0.0291598 at 6
 ( -3.89605 + ( -3.05202 * ( ( ( ( -1.53045 * x1 ) - ( 0.00894204 * x4 ) ) - ( 55.7315 * ( ( ( ( 60.0142 * ( ( ( 0.0324209 * x5 ) )^2 * x4 ) ) - ( 75.0696 * x8 ) ) + ( ( 0.982622 * x2 ) )^2 ) * ( ( x0 / x5 ) / ( ( 102.566 * x0 ) )^2 ) ) ) ) / x1 ) ) )  :  0.0291598 at 7
 ( 0.909201 + ( -0.00147943 * ( ( ( ( 91.1966 * x1 ) - ( 18.2837 * x4 ) ) - ( 0.0428608 * ( ( ( ( 36.0413 * ( ( ( 57.3799 * x3 ) + ( ( ( 2.79913 * x4 ) - ( 71.4465 * x5 ) ) )^2 ) * x4 ) ) - ( 97.8419 * x8 ) ) + ( ( ( 9.77826 * x2 ) )^2 )^2 ) * ( ( x0 / x5 ) / ( ( 101.139 * x0 ) )^2 ) ) ) ) / x1 ) ) )  :  0.0290534 at 7
 ( 1.25824 + ( 0.0239234 * ( x3 / ( ( ( ( -191.288 * x1 ) - ( 18.8853 * x4 ) ) - ( 0.000111195 * ( ( ( ( 257.698 * ( ( ( 404.4 * x5 ) )^2 * x4 ) ) - ( 22.4283 * x8 ) ) + ( ( ( 44.8878 * x2 ) )^2 )^2 ) * ( ( x0 / x5 ) / ( ( 69.4504 * x0 ) )^2 ) ) ) ) / x1 ) ) ) )  :  0.0248477 at 7
 ( 0.786684 + ( -0.00047414 * ( ( ( ( 24.8366 * x1 ) - ( 57.5596 * x4 ) ) - ( 69.1783 * ( ( ( ( 0.00258274 * ( ( ( 6.02135 * x5 ) )^2 * x4 ) ) - ( 111.436 * x8 ) ) + ( ( ( 0.273542 * x2 ) )^2 )^2 ) * ( ( x0 / x5 ) / ( ( 1.73531 * x0 ) )^2 ) ) ) ) / x1 ) ) )  :  0.0291598 at 7
 ( 1.25855 + ( 0.0183485 * ( x3 / ( ( ( ( -146.631 * x1 ) - ( 14.4641 * x4 ) ) - ( 0.00120108 * ( ( ( ( 148.121 * ( ( ( 224.221 * x5 ) )^2 * x4 ) ) - ( 34.1406 * x8 ) ) + ( ( ( 29.0989 * x2 ) )^2 )^2 ) * ( ( x0 / x5 ) / ( ( 109.668 * x0 ) )^2 ) ) ) ) / x1 ) ) ) )  :  0.0248469 at 8
