 ( 0.753765 + ( -0.000122135 * ( ( ( -157.891 * x4 ) - ( ( -103.637 * x6 ) + ( ( ( ( ( 2.26956 * x0 ) + ( -0.0086615 * x5 ) ) + ( 160.281 * x8 ) ) - ( ( 0.66612 * x2 ) )^2 ) )^2 ) ) / x1 ) ) )  :  0.0221939 at 7
 ( 0.742034 + ( 0.174683 * ( ( ( 97.6547 * x4 ) + ( 517.835 * x1 ) ) / ( ( ( ( -1.21141 * x0 ) - ( 6.94776 * x1 ) ) )^2 + ( 104.868 * x2 ) ) ) ) )  :  0.0240752 at 7
 ( 0.750633 + ( 65.8935 * ( ( ( ( 48.1243 * x4 ) + ( 85.7836 * x1 ) ) / ( ( ( ( -0.5532 * x0 ) - ( 2.4353 * x1 ) ) )^2 + ( 9.07661 * x4 ) ) ) / ( ( 2.64969 * x6 ) + ( 47.6248 * x2 ) ) ) ) )  :  0.0221934 at 10
 ( 0.716841 + ( 0.0148688 * ( ( ( ( ( -635.754 * x0 ) - ( -368.885 * x1 ) ) + ( 5.39863 * x3 ) ) + ( 280.54 * x4 ) ) / ( ( ( -0.0023108 * x1 ) )^2 + ( ( 15.5411 * x2 ) + ( 185.869 * x1 ) ) ) ) ) )  :  0.0218113 at 11
 ( 6.84827 + ( 3.35109 * ( ( ( 7.34998 * x4 ) + ( -1364.79 * x1 ) ) / ( ( 748.502 * x1 ) + ( ( ( ( ( 72.2459 * x0 ) + ( -72.6461 * x0 ) ) + ( ( -0.108638 * x4 ) - ( -0.00377783 * x3 ) ) ) - ( -0.0995714 * x1 ) ) )^2 ) ) ) )  :  0.0217633 at 11
 ( 0.76447 + ( 16.5713 * ( ( ( ( 56.1166 * ( ( ( 56.4631 * x4 ) + ( 86.8292 * x1 ) ) / ( ( ( ( 55.1538 * x0 ) - ( 2.23892 * x1 ) ) )^2 + ( 87.4917 * x4 ) ) ) ) + ( 0.00371762 * x3 ) ) + ( 0.515415 * x4 ) ) / ( ( ( 4.30526 * x1 ) )^2 + ( 137.418 * x2 ) ) ) ) )  :  0.0133979 at 11
 ( -32.5897 + ( 55.6133 * ( ( ( ( 50.8502 * x1 ) )^2 + ( ( 55.5741 * x4 ) - ( 48.4985 * ( ( ( 106.75 * x4 ) + ( -132.809 * x1 ) ) / ( ( ( 0.686829 * x1 ) )^2 + ( 5.5698 * x2 ) ) ) ) ) ) / ( ( 65.6584 * x1 ) )^2 ) ) )  :  0.0208089 at 11
 ( 0.764847 + ( 48.9482 * ( ( ( -0.0612498 * ( ( ( ( ( ( -1623.5 * x0 ) + ( -89.308 * x1 ) ) + ( ( 17.9528 * x4 ) - ( 0.413886 * x3 ) ) ) - ( 136.792 * x1 ) ) + ( 16.78 * x4 ) ) / ( ( 86.6528 * x0 ) )^2 ) ) - ( -6.42819e-06 * ( ( ( -97.0276 * ( ( ( ( 0.961318 * x2 ) )^2 + ( 168.657 * x4 ) ) / ( ( 0.489306 * x1 ) )^2 ) ) - ( ( ( -1568.95 * x4 ) + ( 3.25443 * x2 ) ) - ( 3.9621 * x3 ) ) ) / x1 ) ) ) / x1 ) ) )  :  0.0124221 at 14
 ( 0.764847 + ( 7.08801 * ( ( ( -0.123384 * ( ( ( ( ( ( -1366.44 * x0 ) + ( -52.6433 * x1 ) ) + ( ( 45.9656 * x4 ) - ( 0.348353 * x3 ) ) ) - ( 137.657 * x1 ) ) + ( -16.7322 * x4 ) ) / ( ( 42.9362 * x0 ) )^2 ) ) - ( 4.26773 * ( ( ( 93.5666 * ( ( ( ( 0.54578 * x2 ) )^2 + ( 54.3634 * x4 ) ) / ( ( 84.5848 * x1 ) )^2 ) ) - ( ( ( 0.0163198 * x4 ) + ( 63.5128 * x2 ) ) - ( 0.248056 * x3 ) ) ) / x1 ) ) ) / x1 ) ) )  :  0.0124221 at 15
 ( 0.768995 + ( -0.118263 * ( ( ( 56.0906 * ( ( ( ( 1.77401 * x1 ) )^2 + ( 84.3455 * x4 ) ) / ( ( 94.1003 * x0 ) )^2 ) ) - ( 0.28555 * ( ( ( 102.048 * ( ( ( ( 9.12709e-07 * x2 ) )^2 + ( -102.815 * x4 ) ) / ( ( 3.79738 * x1 ) )^2 ) ) - ( ( ( 45.0144 * x4 ) + ( ( -89.4851 * ( ( ( ( -8.56222 * x1 ) )^2 + ( 120.68 * x4 ) ) / ( ( 29.1717 * x0 ) )^2 ) ) - ( ( ( 61.0091 * x4 ) + ( -4.7667 * x1 ) ) - ( 37.0218 * x3 ) ) ) ) - ( 37.0657 * x3 ) ) ) / x1 ) ) ) / x1 ) ) )  :  0.0120156 at 16
 ( 0.764847 + ( 80.0186 * ( ( ( -0.0107763 * ( ( ( ( ( ( -2439.09 * x0 ) + ( -93.0127 * x1 ) ) + ( ( 29.0499 * x4 ) - ( 0.621809 * x3 ) ) ) - ( 246.672 * x1 ) ) + ( 23.1315 * x4 ) ) / ( ( 56.9613 * x0 ) )^2 ) ) - ( -1.7152e-05 * ( ( ( -310.762 * ( ( ( ( -1.96208 * x2 ) )^2 + ( 702.591 * x4 ) ) / ( ( 3.73281 * x1 ) )^2 ) ) - ( ( ( -359.691 * x4 ) + ( 78.2805 * x2 ) ) - ( 1.2112 * x3 ) ) ) / x1 ) ) ) / x1 ) ) )  :  0.0124221 at 16
 ( 0.765763 + ( -0.0835423 * ( ( ( 103.259 * ( ( ( ( ( ( -303.003 * x0 ) + ( 27.4039 * x1 ) ) + ( ( -40.5958 * x4 ) - ( 0.0749959 * x3 ) ) ) - ( 69.5932 * x1 ) ) + ( 46.8983 * x4 ) ) / ( ( 63.4827 * x0 ) )^2 ) ) - ( 0.0370114 * ( ( ( -30.9205 * ( x4 / ( ( 103.16 * ( ( ( -0.676165 * x1 ) - ( 110.944 * x1 ) ) / ( ( -306.845 * x4 ) - ( 38.1419 * x3 ) ) ) ) )^2 ) ) - ( ( ( -166.804 * x4 ) + ( 65.7782 * x2 ) ) - ( 0.54462 * x3 ) ) ) / x1 ) ) ) / x1 ) ) )  :  0.0114065 at 18
 ( 0.775666 + ( -0.135262 * ( ( ( 79.0726 * ( ( ( ( 1.77959 * x1 ) )^2 + ( ( ( ( -418.203 * x0 ) + ( ( 65.7124 * x4 ) + ( 62.4546 * x1 ) ) ) + ( 95.6964 * x2 ) ) - ( 42.8918 * x1 ) ) ) / ( ( 89.5819 * x0 ) )^2 ) ) - ( 0.0850666 * ( ( ( -64.9144 * ( ( ( ( -1.36279 * x2 ) )^2 + ( 87.5133 * x4 ) ) / ( ( 1.57939 * x1 ) )^2 ) ) - ( ( ( 18.2659 * x4 ) + ( ( -85.8086 * ( ( ( ( 8.54292 * x1 ) )^2 + ( 118.574 * x4 ) ) / ( ( 12.9345 * x0 ) )^2 ) ) - ( ( ( 66.827 * x4 ) + ( -59.1314 * x1 ) ) - ( 44.1337 * x3 ) ) ) ) - ( 44.3876 * x3 ) ) ) / x1 ) ) ) / x1 ) ) )  :  0.011736 at 18
 ( 0.769418 + ( 71.3803 * ( ( ( -1.68337 * ( ( ( ( -0.295009 * x1 ) )^2 + ( 2.33105 * x4 ) ) / ( ( 67.2297 * x0 ) )^2 ) ) - ( 6.53777e-06 * ( ( ( 124.537 * ( ( ( ( 1.97656 * x2 ) )^2 + ( 150.966 * x4 ) ) / ( ( ( -0.0122345 * x4 ) + ( 0.733639 * x1 ) ) )^2 ) ) - ( ( ( 601.834 * x4 ) + ( ( 66.3202 * ( ( ( ( 7.87737 * x1 ) )^2 + ( 101.975 * x4 ) ) / ( ( 2.73253 * x0 ) )^2 ) ) - ( ( ( -507.025 * x4 ) + ( 385.239 * x1 ) ) - ( 49.6099 * x3 ) ) ) ) - ( 46.1141 * x3 ) ) ) / x1 ) ) ) / x1 ) ) )  :  0.0109242 at 19
 ( 0.763068 + ( 0.00211074 * ( ( ( 84.2986 * ( ( ( ( ( ( ( -343.886 * x4 ) + ( ( 17.5457 * ( ( ( 78.9322 * ( ( ( ( -1.93908 * x1 ) )^2 + ( ( 140.425 * x0 ) + ( -46.2127 * x1 ) ) ) / ( ( 0.437048 * x5 ) )^2 ) ) - ( ( ( ( -549.453 * x4 ) - ( 99.979 * x1 ) ) - ( -14.809 * x3 ) ) - ( 5.8729 * x3 ) ) ) / x1 ) ) - ( -395.923 * x1 ) ) ) + ( 485.334 * x1 ) ) + ( ( -333.719 * x4 ) - ( -27.5968 * x3 ) ) ) - ( -310.849 * x1 ) ) + ( -357.046 * x4 ) ) / ( ( 80.847 * x0 ) )^2 ) ) - ( 27.8516 * ( ( ( 66.2787 * ( x1 / ( ( 67.0434 * ( ( ( -1.48981 * x1 ) - ( 91.0444 * x1 ) ) / ( ( -480.122 * x4 ) - ( 5.09127 * x3 ) ) ) ) )^2 ) ) - ( ( ( 10.7321 * x4 ) + ( 28.5769 * x2 ) ) - ( 0.0790244 * x3 ) ) ) / x1 ) ) ) / x1 ) ) )  :  0.00996458 at 19
 ( 0.765763 + ( 50.363 * ( ( ( 0.068795 * ( ( ( ( ( ( 144.849 * x0 ) + ( 54.6404 * x1 ) ) + ( ( ( 0.757379 * x2 ) )^2 + ( -0.764102 * x4 ) ) ) - ( 34.4719 * x1 ) ) + ( -2.24876 * x4 ) ) / ( ( 27.8169 * x0 ) )^2 ) ) - ( 41.2627 * ( ( ( 1.44632e-06 * ( x4 / ( ( 31.7451 * ( ( ( 0.0873173 * x1 ) - ( 42.87 * x1 ) ) / ( ( -204.121 * x4 ) - ( 25.3729 * x3 ) ) ) ) )^2 ) ) - ( ( ( 0.000248187 * x4 ) + ( 76.2148 * x2 ) ) - ( 0.297714 * x3 ) ) ) / x1 ) ) ) / x1 ) ) )  :  0.0114065 at 19
 ( 0.765763 + ( -3.56149e-05 * ( ( ( 44.4205 * ( ( ( ( ( ( -1232.61 * x0 ) + ( -69.4346 * x1 ) ) + ( ( -9.96924 * x4 ) - ( 0.305082 * x3 ) ) ) - ( 102.191 * x1 ) ) + ( 35.6076 * x4 ) ) / ( ( -1.73395 * x0 ) )^2 ) ) - ( 65.712 * ( ( ( -82.0844 * ( x4 / ( ( 80.1847 * ( ( ( -39.5086 * x1 ) - ( 62.2744 * x1 ) ) / ( ( -153.429 * x4 ) - ( 19.0717 * x3 ) ) ) ) )^2 ) ) - ( ( ( -220.38 * x4 ) + ( 73.1283 * x2 ) ) - ( 0.66573 * x3 ) ) ) / x1 ) ) ) / x1 ) ) )  :  0.0114065 at 19
 ( 0.767635 + ( -0.164158 * ( ( ( 74.184 * ( ( ( ( ( 31.2838 * ( ( ( ( 10.6665 * x2 ) )^2 + ( -208.365 * x4 ) ) / ( ( 6.02595 * x1 ) )^2 ) ) - ( ( ( 83.0448 * x4 ) + ( ( 381.099 * ( ( ( ( 3.23132 * x1 ) )^2 + ( -380.231 * x4 ) ) / ( ( ( ( -9.79065e-05 * x3 ) + ( ( -1.46694 * x0 ) + ( 16.2271 * x4 ) ) ) )^2 + ( ( -225.437 * x4 ) + ( 28.9008 * x1 ) ) ) ) ) - ( ( ( -9.99439 * x4 ) + ( ( 30.8233 * x4 ) + ( -9.75848 * x1 ) ) ) - ( 57.4009 * x3 ) ) ) ) - ( 92.6077 * x3 ) ) ) + ( ( 64.4941 * x4 ) - ( 35.3435 * x3 ) ) ) + ( -325.539 * x0 ) ) / ( ( 69.9573 * x0 ) )^2 ) ) - ( 68.4398 * ( ( ( 100.757 * ( ( ( 125.025 * x1 ) + ( -74.2128 * x4 ) ) / ( ( 56.8682 * x1 ) )^2 ) ) - ( ( -0.0494284 * x4 ) - ( -1.78438e-05 * x3 ) ) ) / x1 ) ) ) / x1 ) ) )  :  0.00961924 at 24
 ( 0.768676 + ( 10.2635 * ( ( ( 0.21294 * ( ( ( ( 1.15143 * x1 ) )^2 + ( 106.345 * x4 ) ) / ( ( 97.2014 * x0 ) )^2 ) ) - ( -0.000315173 * ( ( ( 77.7793 * ( ( ( ( ( 81.6299 * x4 ) + ( 1.22611 * x2 ) ) )^2 + ( 47.945 * x4 ) ) / ( ( ( 32.3554 * x4 ) + ( -1.28538 * x1 ) ) )^2 ) ) - ( ( ( -79.2219 * x4 ) + ( ( 151.86 * ( ( ( ( 0.0110116 * x1 ) )^2 + ( 171.09 * x4 ) ) / ( ( ( 47.178 * ( ( ( 1.22986 * x0 ) + ( 67.7892 * x2 ) ) / ( ( 21.6879 * x2 ) )^2 ) ) - ( ( ( 47.9726 * ( ( ( ( 3.55958 * x1 ) )^2 + ( ( 78.551 * x0 ) + ( -43.6859 * x2 ) ) ) / x0 ) ) - ( ( ( -12.4124 * x4 ) + ( 52.4374 * x1 ) ) - ( -0.504652 * x3 ) ) ) - ( ( -5.05087e-07 * x1 ) )^2 ) ) / x1 ) ) ) - ( ( ( 153.645 * x4 ) + ( -149.69 * x1 ) ) - ( ( 175.815 * ( ( ( ( ( ( 84.4885 * x0 ) + ( -82.9582 * x1 ) ) + ( 137.026 * x2 ) ) - ( 195.822 * x1 ) ) + ( -75.7524 * x4 ) ) / ( ( ( 42.7129 * x0 ) + ( -20.1157 * x1 ) ) + ( ( 2.97585 * x4 ) + ( ( -1.89036 * x2 ) + ( 19.9592 * x1 ) ) ) ) ) ) - ( -23.1177 * ( ( ( 30.5243 * ( ( ( ( 43 * x2 ) )^2 + ( 53.4754 * x4 ) ) / ( ( 40.3473 * x1 ) )^2 ) ) - ( ( ( -97.2697 * x4 ) + ( 97.2816 * x1 ) ) - ( -0.0983431 * x3 ) ) ) / x1 ) ) ) ) ) ) - ( -0.257633 * x3 ) ) ) / x1 ) ) ) / x1 ) ) )  :  0.00909968 at 24
 ( 0.764705 + ( -0.0343359 * ( ( ( 182.267 * ( ( ( ( ( ( -497.031 * x0 ) + ( 31.3773 * x1 ) ) + ( 72.8453 * x4 ) ) - ( 150.023 * x1 ) ) + ( -6.27291 * x4 ) ) / ( ( 43.3725 * x0 ) )^2 ) ) - ( 25.7879 * ( ( ( -0.145037 * ( x4 / ( ( 319.186 * ( ( ( 278.043 * x1 ) - ( -166.819 * x1 ) ) / ( ( 438.181 * x4 ) - ( ( 159.563 * ( ( ( ( 1.90594 * x2 ) )^2 + ( 188.082 * x4 ) ) / ( ( 0.00186306 * ( ( ( ( ( ( 120.007 * x0 ) + ( -12.5674 * x4 ) ) + ( ( -21.4643 * x4 ) - ( 0.0115537 * x3 ) ) ) - ( -30.4788 * x1 ) ) + ( 14.2446 * x4 ) ) / ( ( 168.099 * x0 ) )^2 ) ) - ( 5.63951e-05 * ( ( ( 87.1431 * ( ( ( ( 92.9259 * ( ( ( ( ( ( 90.0984 * x0 ) + ( 80.6097 * x1 ) ) + ( ( 98.7416 * x4 ) - ( 40.5255 * x1 ) ) ) - ( 76.2398 * x1 ) ) + ( 8.35735 * x4 ) ) / ( ( 39.4577 * x0 ) )^2 ) ) - ( 75.7958 * ( x1 / x1 ) ) ) + ( 10.9669 * x4 ) ) / ( ( 52.8101 * x1 ) )^2 ) ) - ( ( ( -70.1167 * x4 ) + ( 68.5054 * x2 ) ) - ( 0.351949 * x3 ) ) ) / x1 ) ) ) ) ) - ( ( ( 43.7521 * x2 ) + ( 26.611 * x2 ) ) - ( -5.94777 * x3 ) ) ) ) ) ) )^2 ) ) - ( ( ( -415.343 * x4 ) + ( 79.6714 * x2 ) ) - ( 0.313456 * x3 ) ) ) / x1 ) ) ) / x1 ) ) )  :  0.008746 at 25
 ( 0.771625 + ( 0.0402503 * ( ( ( -53.5546 * ( ( ( ( ( ( -1186.38 * x0 ) + ( -13.1134 * x1 ) ) + ( ( -52.1571 * x4 ) - ( 1.92707 * x3 ) ) ) - ( 175.428 * x1 ) ) + ( 10.6445 * x4 ) ) / ( ( 106.892 * x0 ) )^2 ) ) - ( 51.1018 * ( ( ( 85.4219 * ( ( ( 22.5367 * ( ( ( ( 0.0257109 * x3 ) )^2 + ( 45.9035 * x4 ) ) / ( ( 1.11942 * x1 ) )^2 ) ) + ( ( 63.1413 * x2 ) - ( 1.41516 * x3 ) ) ) / ( ( 68.9509 * ( ( ( 85.2677 * x1 ) - ( 44.851 * x1 ) ) / ( ( -164.731 * x4 ) - ( 0.0454488 * x3 ) ) ) ) )^2 ) ) - ( ( -138.68 * ( ( ( ( ( ( -1164.45 * x0 ) + ( 6.3183 * x1 ) ) + ( ( 72.7523 * x4 ) - ( -0.358409 * x3 ) ) ) - ( 87.215 * x1 ) ) + ( 58.8833 * x4 ) ) / ( ( 11.2152 * x0 ) )^2 ) ) - ( -0.00553961 * x3 ) ) ) / ( ( 15.8447 * ( ( ( ( 10.1063 * x1 ) )^2 + ( -10.3105 * x4 ) ) / ( ( 89.3964 * x1 ) )^2 ) ) - ( ( ( -311.264 * x4 ) + ( -696.514 * x2 ) ) - ( -2.6977 * x3 ) ) ) ) ) ) / x1 ) ) )  :  0.00886088 at 25
