 ( 0.756451 + ( -277.852 * ( ( ( ( ( ( ( ( 4.6898 * ( x7 / x3 ) ) )^2 ^ ( 85.7871 * ( x8 * x6 ) ) ) )^2 ^ ( 44.6489 * x0 ) ) )^2 )^2 / ( ( ( ( -58.7355 * x0 ) - ( 167.632 * x1 ) ) - ( ( ( 8.66923e-06 * x1 ) )^2 - ( 10.4485 * x4 ) ) ) + ( 2.47972 * ( x6 * x4 ) ) ) ) ) )  :  0.0337567 at 4
 ( 0.760409 + ( -265.986 * ( ( ( ( ( ( ( ( 12.0288 * ( x7 / x3 ) ) )^2 ^ ( 22.4193 * ( x8 * x6 ) ) ) )^2 ^ ( 5.09695 * x0 ) ) )^2 )^2 / ( ( ( ( -36.944 * x0 ) - ( 186.622 * x1 ) ) - ( ( ( -3.70928e-06 * x1 ) )^2 - ( 12.5735 * x4 ) ) ) + ( 57.126 * ( x6 * ( ( ( ( 57.8689 * x8 ) )^2 + ( 25.3467 * x8 ) ) )^2 ) ) ) ) ) )  :  0.0344625 at 4
 ( 0.77202 + ( 1.70274 * ( ( ( 60.2772 * x4 ) + ( 351.052 * x1 ) ) / ( ( 27.0978 * x1 ) )^2 ) ) )  :  0.0317607 at 5
 ( 0.739268 + ( 16.0403 * ( ( 56.4153 * ( x2 / ( ( 9.52406 * x3 ) - ( ( ( -1209.57 * x0 ) - ( 5429.12 * x1 ) ) - ( ( ( 0.00974526 * x1 ) )^2 - ( 684.133 * x4 ) ) ) ) ) ) + ( -0.000286231 * x6 ) ) ) )  :  0.0297396 at 6
 ( 0.797119 + ( 0.000806024 * ( ( ( ( -58.7025 * x0 ) - ( 49.5441 * x1 ) ) - ( ( -114.874 * x2 ) - ( 22.0427 * x4 ) ) ) / x1 ) ) )  :  0.026273 at 8
 ( 0.753373 + ( 9.85146 * ( ( ( ( ( -102.102 * x0 ) - ( -481.449 * x1 ) ) - ( ( 60.855 * x2 ) - ( 45.405 * x4 ) ) ) + ( 27.1236 * x2 ) ) / ( ( 53.8497 * x1 ) )^2 ) ) )  :  0.0297231 at 8
 ( 0.757324 + ( 3.83104e-06 * ( ( ( ( ( ( 7.36698 * ( x0 * ( x4 / x0 ) ) ) - ( -0.409854 * x7 ) ) - ( -0.791629 * x5 ) ) )^2 + ( 70.3918 * x3 ) ) / x1 ) ) )  :  0.0291781 at 8
 ( 0.772581 + ( 0.000333654 * ( ( ( ( -141.81 * x0 ) - ( 46.1426 * x1 ) ) - ( ( -277.506 * x2 ) - ( 53.2496 * x4 ) ) ) / x1 ) ) )  :  0.026273 at 11
 ( 101.267 + ( 0.0165795 * ( ( ( 243.705 * x1 ) - ( ( -153.118 * x1 ) + ( 1.47174 * x3 ) ) ) - ( -339.829 * ( x1 * ( ( ( ( 29.122 * x0 ) - ( -622.029 * x1 ) ) - ( ( -2.22479 * x2 ) - ( 73.8761 * x4 ) ) ) / ( ( ( -23.1029 * x0 ) - ( 532.697 * x1 ) ) - ( ( ( ( ( 0.020254 * x4 ) + ( 0.225364 * x0 ) ) + ( 3.60849e-05 * ( x6 * x0 ) ) ) )^2 - ( -62.9976 * x4 ) ) ) ) ) ) ) ) )  :  0.0234015 at 12
 ( 1.47301 + ( 0.387992 * ( ( ( ( -40.2925 * x0 ) + ( ( ( ( ( ( -1.16781 * x0 ) + ( -75.9607 * ( x7 / x3 ) ) ) + ( 40.8406 * x8 ) ) - ( ( 6.39433 * x8 ) )^2 ) )^2 - ( ( 0.339073 * x1 ) )^2 ) ) - ( 78.9942 * x1 ) ) / ( ( 87.831 * ( x2 / x1 ) ) + ( ( 2.23629 * x4 ) + ( 48.8804 * x1 ) ) ) ) ) )  :  0.0244529 at 12
