1 16 16 4096 1 1 0 0 0,45.36372,0.999386725,2.057105009,1.236431316
1 16 16 4096 2 1 0 0 0,45.39321089,0.999265161,2.058738115,1.068200325
1 16 16 4096 4 1 0 0 0,45.45219266,0.999022079,2.062005561,0.971031058
1 16 16 4096 8 1 0 0 0,45.5701562,0.998536104,2.068545389,0.916752769
1 16 16 4096 16 1 0 0 0,45.80608329,0.997564907,2.081644811,0.898683697
1 32 16 4096 8 1 0 0 0,46.1776562,0.998536104,2.097068321,0.891142748
1 32 16 4096 16 1 0 0 0,46.41358329,0.997564907,2.110203098,0.853877451
1 32 16 4096 32 1 0 0 0,46.88543747,0.995625516,2.136551897,0.847125928
1 64 16 4096 16 1 0 0 0,47.62858329,0.997564907,2.167377957,0.840204892
2 16 16 4096 16 1 0 0 0,47.61216658,0.995135743,2.171893676,0.840132569
1 64 16 4096 32 1 0 0 0,48.10043747,0.995625516,2.193868199,0.818829843
2 32 16 4096 16 1 0 0 0,48.82716658,0.995135743,2.229284288,0.807326314
2 32 16 4096 32 1 0 0 0,49.77087493,0.991270168,2.282780602,0.804443781
2 64 16 4096 16 1 0 0 0,51.25716658,0.995135743,2.344294104,0.800886223
2 64 16 4096 32 1 0 0 0,52.20087493,0.991270168,2.398356513,0.788720139
4 32 16 4096 16 1 0 0 0,53.65433316,0.990295147,2.470058797,0.786018126
4 64 16 4096 16 1 0 0 0,58.51433316,0.990295147,2.702679785,0.782134288
4 64 16 4096 32 1 0 0 0,60.40174986,0.982616546,2.81515851,0.77570134
8 32 16 4096 16 1 0 0 0,63.30866632,0.980684479,2.962024328,0.775673622
10 32 16 4096 16 1 0 0 0,68.1358329,0.975914178,3.213207852,0.77359547
8 64 16 4096 16 1 0 0 0,73.02866632,0.980684479,3.437431114,0.772863949
12 32 16 4096 16 1 0 0 0,72.96299948,0.97116708,3.46785994,0.772204523
8 64 16 4096 32 1 0 0 0,76.80349972,0.965535276,3.680061507,0.769666583
10 64 16 4096 32 1 0 0 0,85.00437465,0.957106315,4.128226108,0.768485049
12 64 16 4096 32 1 0 0 0,93.20524958,0.948750938,4.58694362,0.767697779
14 64 16 4096 32 1 0 0 0,101.4061245,0.940468502,5.056291648,0.767134042
16 64 16 4096 32 1 0 0 0,109.6069994,0.93225837,5.536359825,0.766709632
18 64 16 4096 32 1 0 0 0,117.8078744,0.924119911,6.02724782,0.766378195
20 64 16 4096 32 1 0 0 0,126.0087493,0.916052499,6.529063858,0.766112081
