ObjectiveFunction;Configuration;Performance;ManufactureCost;Area;Yield
2.36096;1 8 16 4096 4 2 0 0 0;1.02141;2.31147;46.1636;0.905629
2.41897;1 8 16 4096 4 4 0 0 0;1.03173;2.34457;46.7707;0.904993
3.1661;1 8 16 4096 64 2 0 0 0;1.17199;2.70147;53.2414;0.898238
3.7886;1 8 16 4096 64 32 0 0 0;1.17783;3.2166;62.3481;0.888816
3.20004;1 8 16 4096 64 4 0 0 0;1.16988;2.73535;53.8485;0.897607
3.2776;1 8 16 4096 64 8 0 0 0;1.16919;2.8033;55.0627;0.896346
2.44379;1 8 16 4096 8 1 0 0 0;1.05307;2.32064;46.3319;0.905453
2.30959;1 8 16 4096 8 2 0 0 0;0.98819;2.33719;46.6354;0.905135
2.32497;1 8 16 4096 8 4 0 0 0;0.980859;2.37034;47.2425;0.904499
2.46269;1 8 16 4096 8 8 0 0 0;1.01061;2.43684;48.4568;0.903228
2.87506;12 16 16 4096 1 1 0 0 0;0.831228;3.45881;65.7186;0.873132
3.8296;12 16 16 4096 16 1 0 0 0;0.806349;4.74931;86.952;0.851928
6.81841;12 16 16 4096 16 16 0 0 0;0.805571;8.46408;141.592;0.7997
3.98722;12 16 16 4096 16 2 0 0 0;0.800786;4.97913;90.5947;0.848342
4.35124;12 16 16 4096 16 4 0 0 0;0.798938;5.44628;97.88;0.841216
5.13199;12 16 16 4096 16 8 0 0 0;0.800513;6.41088;112.451;0.827144
2.88006;12 16 16 4096 2 1 0 0 0;0.813059;3.54225;67.1341;0.871702
3.05761;12 16 16 4096 2 2 0 0 0;0.813483;3.75866;70.7768;0.868034
5.33424;12 16 16 4096 32 2 0 0 0;0.825154;6.46454;113.244;0.826385
12.6099;12 16 16 4096 32 32 0 0 0;0.835509;15.0925;222.524;0.728167
5.76768;12 16 16 4096 32 4 0 0 0;0.828297;6.9633;120.529;0.819443
6.64112;12 16 16 4096 32 8 0 0 0;0.830964;7.99207;135.1;0.805734
2.99449;12 16 16 4096 4 1 0 0 0;0.807089;3.71024;69.9652;0.86885
3.14754;12 16 16 4096 4 2 0 0 0;0.801197;3.92855;73.6079;0.865193
3.50742;12 16 16 4096 4 4 0 0 0;0.802145;4.37255;80.8933;0.857925
8.74246;12 16 16 4096 64 2 0 0 0;0.89789;9.73667;158.542;0.784159
