ObjectiveFunction;Configuration;Performance;ManufactureCost;Area;Yield
17.3957;12 16 16 4096 64 32 0 0 0;0.894294;19.4519;267.822;0.69096
9.25383;12 16 16 4096 64 4 0 0 0;0.898266;10.3019;165.827;0.777572
10.2896;12 16 16 4096 64 8 0 0 0;0.897405;11.4659;180.398;0.764564
3.26267;12 16 16 4096 8 1 0 0 0;0.80547;4.05064;75.6275;0.863172
3.41524;12 16 16 4096 8 2 0 0 0;0.799302;4.27277;79.2702;0.859539
3.76328;12 16 16 4096 8 4 0 0 0;0.796555;4.72444;86.5555;0.852319
4.51331;12 16 16 4096 8 8 0 0 0;0.797732;5.65767;101.126;0.838061
3.17692;12 32 16 4096 1 1 0 0 0;0.810145;3.92143;73.0086;0.859398
4.11473;12 32 16 4096 16 1 0 0 0;0.783679;5.25054;94.242;0.838528
7.04576;12 32 16 4096 16 16 0 0 0;0.776715;9.07123;148.882;0.787121
4.26684;12 32 16 4096 16 2 0 0 0;0.77761;5.48711;97.8847;0.834998
4.62527;12 32 16 4096 16 4 0 0 0;0.775026;5.96789;105.17;0.827984
5.39285;12 32 16 4096 16 8 0 0 0;0.774808;6.96024;119.741;0.814133
3.17148;12 32 16 4096 2 1 0 0 0;0.791406;4.0074;74.4241;0.857991
3.3489;12 32 16 4096 2 2 0 0 0;0.791633;4.23037;78.0668;0.85438
5.4612;12 32 16 4096 32 2 0 0 0;0.778454;7.01544;120.534;0.813386
12.4034;12 32 16 4096 32 32 0 0 0;0.78116;15.8782;229.814;0.716713
5.84355;12 32 16 4096 32 4 0 0 0;0.776203;7.52837;127.819;0.806553
6.66821;12 32 16 4096 32 8 0 0 0;0.776631;8.58607;142.39;0.79306
3.28396;12 32 16 4096 4 1 0 0 0;0.785546;4.18048;77.2552;0.855183
3.43382;12 32 16 4096 4 2 0 0 0;0.779462;4.40537;80.8979;0.851584
3.79382;12 32 16 4096 4 4 0 0 0;0.780199;4.86263;88.1833;0.844431
8.33847;12 32 16 4096 64 2 0 0 0;0.803405;10.3789;165.832;0.771825
16.5425;12 32 16 4096 64 32 0 0 0;0.812862;20.3509;275.112;0.680091
8.84635;12 32 16 4096 64 4 0 0 0;0.80718;10.9596;173.117;0.765341
9.84914;12 32 16 4096 64 8 0 0 0;0.810286;12.1551;187.688;0.752538
3.55095;12 32 16 4096 8 1 0 0 0;0.783678;4.53113;82.9175;0.849595
3.70021;12 32 16 4096 8 2 0 0 0;0.777372;4.75989;86.5602;0.846019
4.04604;12 32 16 4096 8 4 0 0 0;0.77437;5.22494;93.8455;0.838913
4.79424;12 32 16 4096 8 8 0 0 0;0.77509;6.1854;108.416;0.824878
3.95333;12 64 16 4096 1 1 0 0 0;0.807296;4.89701;87.5886;0.832575
4.91943;12 64 16 4096 16 1 0 0 0;0.780177;6.30554;108.822;0.812356
7.9849;12 64 16 4096 16 16 0 0 0;0.771879;10.3447;163.462;0.762554
5.07358;12 64 16 4096 16 2 0 0 0;0.77388;6.55602;112.465;0.808936
5.44772;12 64 16 4096 16 4 0 0 0;0.771099;7.06487;119.75;0.802142
6.24947;12 64 16 4096 16 8 0 0 0;0.770162;8.11449;134.321;0.788722
3.93219;12 64 16 4096 2 1 0 0 0;0.788299;4.9882;89.0041;0.831211
4.11838;12 64 16 4096 2 2 0 0 0;0.788263;5.22463;92.6468;0.827713
6.32144;12 64 16 4096 32 2 0 0 0;0.773469;8.17284;135.114;0.787999
13.5183;12 64 16 4096 32 32 0 0 0;0.771552;17.5209;244.394;0.694343
6.71576;12 64 16 4096 32 4 0 0 0;0.770596;8.71503;142.399;0.781379
7.56932;12 64 16 4096 32 8 0 0 0;0.769831;9.83244;156.97;0.768308
4.04637;12 64 16 4096 4 1 0 0 0;0.782401;5.17173;91.8352;0.828491
4.19978;12 64 16 4096 4 2 0 0 0;0.776278;5.41015;95.4779;0.825004
4.58032;12 64 16 4096 4 4 0 0 0;0.777024;5.8947;102.763;0.818074
9.08967;12 64 16 4096 64 2 0 0 0;0.775242;11.7249;180.412;0.747734
17.2494;12 64 16 4096 64 32 0 0 0;0.776034;22.2276;289.692;0.658864
9.5379;12 64 16 4096 64 4 0 0 0;0.773082;12.3375;187.697;0.741454
10.5144;12 64 16 4096 64 8 0 0 0;0.773212;13.5983;202.268;0.72905
4.32703;12 64 16 4096 8 1 0 0 0;0.780569;5.54344;97.4975;0.823077
4.47798;12 64 16 4096 8 2 0 0 0;0.773953;5.78585;101.14;0.819613
4.83901;12 64 16 4096 8 4 0 0 0;0.770735;6.27844;108.426;0.812729
5.62542;12 64 16 4096 8 8 0 0 0;0.771132;7.29501;122.996;0.799132
2.84008;12 8 16 4096 1 1 0 0 0;0.878289;3.23365;62.0736;0.880081
3.93646;12 8 16 4096 16 1 0 0 0;0.87378;4.50509;83.307;0.858708
7.22823;12 8 16 4096 16 16 0 0 0;0.884977;8.16771;137.947;0.806065
4.13504;12 8 16 4096 16 2 0 0 0;0.873922;4.73159;86.9497;0.855094
4.55406;12 8 16 4096 16 4 0 0 0;0.877126;5.19203;94.235;0.847912
5.409;12 8 16 4096 16 8 0 0 0;0.880523;6.14294;108.806;0.833727
