 ( 0.759992 + ( 38.8296 * ( ( ( -4.66857e-13 * ( ( ( ( ( ( 64.6056 * ( x5 * ( x5 / ( ( 76.7123 * x5 ) ^ ( 64.3422 * x3 ) ) ) ) ) - ( 80.4469 * x1 ) ) )^2 ^ ( ( 29.9499 * x8 ) ^ ( 34.5568 * x7 ) ) ) + ( ( 52.5235 * x6 ) )^2 ) / ( x1 / ( ( ( 33.1772 * x5 ) )^2 )^2 ) ) ) + ( ( 87.263 * ( ( ( 2.06771 * x2 ) )^2 / x1 ) ) + ( ( 58.094 * ( ( ( -0.00327596 * x2 ) )^2 / x1 ) ) )^2 ) ) / ( ( 87.8918 * x2 ) )^2 ) ) )  :  0.0494522 at 5
 ( 0.806017 + ( 0.00631803 * ( ( ( -8.4176e-10 * ( ( ( ( ( ( 53.9855 * ( x4 * x1 ) ) - ( 42.5095 * x3 ) ) )^2 ^ ( ( 47.9685 * x8 ) ^ ( 87.9685 * x7 ) ) ) + ( ( 34.8299 * x0 ) )^2 ) / ( x1 / ( ( ( 35.8647 * x5 ) )^2 )^2 ) ) ) + ( ( 80.2816 * x8 ) + ( ( 45.9371 * ( ( ( 2.74588 * x2 ) )^2 / x1 ) ) )^2 ) ) / ( ( 91.8839 * x2 ) )^2 ) ) )  :  0.0468127 at 5
 ( 0.294831 + ( 21.0009 * ( ( 0.000306253 * ( ( ( 12.5267 * ( ( ( 1.9849 * x7 ) + ( -45.9722 * x2 ) ) / x1 ) ) + ( 118.002 * x2 ) ) / x1 ) ) + ( 0.000235424 * x1 ) ) ) )  :  0.0448225 at 10
 ( 0.409785 + ( -1.44509e-05 * ( ( 187.925 * ( ( ( 63.2244 * ( ( ( -9.42941 * x7 ) + ( 94.8361 * x2 ) ) / ( x1 * x1 ) ) ) + ( -181.523 * x2 ) ) / x1 ) ) + ( -275.34 * x1 ) ) ) )  :  0.0443842 at 14
 ( 0.616858 + ( -5.45395e-06 * ( ( ( -0.0305593 * x1 ) )^2 + ( -53.1973 * ( ( ( 153.498 * ( ( ( 44.4562 * ( ( ( 0.817736 * x7 ) + ( -22.5059 * x2 ) ) / x1 ) ) + ( 148.803 * x2 ) ) / x1 ) ) + ( ( 33.624 * x2 ) + ( 7.76784 * ( x1 * x1 ) ) ) ) / x1 ) ) ) ) )  :  0.0444412 at 14
 ( 0.294831 + ( -1.83691e-05 * ( ( 202.929 * ( ( ( -12.146 * ( ( ( 3.53205 * x7 ) + ( -81.8058 * x2 ) ) / x1 ) ) + ( -203.599 * x2 ) ) / x1 ) ) + ( -269.127 * x1 ) ) ) )  :  0.0448128 at 14
 ( 0.409785 + ( -0.000125188 * ( ( -63.3428 * ( ( ( 15.2775 * ( ( ( 13.364 * x7 ) + ( -134.408 * x2 ) ) / ( x1 * x1 ) ) ) + ( 62.1656 * x2 ) ) / x1 ) ) + ( -31.7803 * x1 ) ) ) )  :  0.0443761 at 15
 ( 0.999171 + ( -1.45393e-05 * ( ( -66.2324 * ( ( ( 1.73579 * x2 ) )^2 / ( ( -37.8748 * x1 ) + ( ( 6.78689 * x1 ) + ( ( ( 19.0382 * ( ( ( 24.131 * x7 ) + ( 44.6394 * x2 ) ) / x1 ) ) + ( -0.304488 * ( x1 / ( x1 / x3 ) ) ) ) + ( 56.1829 * x1 ) ) ) ) ) ) + ( ( ( -5.83885 * ( ( ( 380.302 * x7 ) + ( -42.2177 * x2 ) ) / x1 ) ) - ( -820.176 * x1 ) ) + ( -9.20334 * ( x1 * x1 ) ) ) ) ) )  :  0.0403177 at 16
 ( 0.496605 + ( 40.5988 * ( ( 9.1896e-05 * ( ( ( 16.9203 * ( ( ( 0.958766 * x7 ) + ( -5.18331 * x2 ) ) / ( ( ( 50.9652 * x1 ) + ( -2.41593 * ( x1 / ( x1 / x3 ) ) ) ) + ( 148.28 * ( x1 * x1 ) ) ) ) ) + ( 96.0941 * x2 ) ) / x1 ) ) + ( 7.71563e-05 * x1 ) ) ) )  :  0.0443069 at 16
 ( 0.914178 + ( 7.42759e-05 * ( ( 0.0940898 * ( ( ( 47.0704 * x2 ) )^2 / ( ( 78.6385 * x1 ) + ( ( 17.1301 * x1 ) + ( ( ( 53.0183 * ( ( ( 31.6432 * x7 ) + ( 66.4515 * x2 ) ) / x1 ) ) + ( -1.30564 * ( x1 / ( x1 / x3 ) ) ) ) + ( 19.6232 * x1 ) ) ) ) ) ) + ( ( ( -32.0494 * ( ( ( -13.3972 * x7 ) + ( -11.6157 * x2 ) ) / x1 ) ) - ( 113.575 * x1 ) ) + ( 1.32073 * ( x1 * x1 ) ) ) ) ) )  :  0.0397727 at 17
